sgRNAID	score
rsmE_413	0.367629571004
rsmE_517	0.0655975878679
rsmE_473	0.590118492795
rsmE_106	0.125101005409
rsmE_288	0.557821413143
rsmE_12	0.387543284601
rsmE_243	0.222691092837
rsmE_516	1.0
rsmE_435	0.494334768343
acnA_60	0.334146858258
rsmE_229	0.206970437488
acnA_44	0.744873154664
rsmE_645	0.0
rsmE_689	0.0733923589368
rsmE_325	0.042068739744
rsmE_207	0.136748118072
rsmE_78	0.294736289583
acnA_23	0.397509657866
rsmE_524	0.521386104723
rsmE_31	0.305822795861
rsmE_623	0.906609795696
rsmE_71	0.0867395653421
rsmE_38	0.539994741852
rsmE_582	0.385601946805
rsmE_10	0.336484017237
rsmE_11	0.647000482079
rsmE_170	0.768458213449
rsmE_442	0.455371164813
rsmE_155	0.596267614258
rsmE_614	0.535312312635
rsmE_553	0.339455561654
rsmE_567	0.010149282516
rsmE_547	0.109471616355
acnA_72	0.647648917648
acnA_12	0.890801921383
rsmE_570	0.252003192722
rsmE_42	0.652963879044
rsmE_655	0.62175292425
rsmE_315	0.758182932269
rsmE_698	0.672748964523
rsmE_25	0.393627051326
acnA_11	0.773883198193
rsmE_450	0.574826227764
rsmE_164	0.418941397746
rsmE_624	0.27452470965
rsmE_454	0.418335927653
rsmE_74	0.479942370729
rsmE_9	0.674249913061
rsmE_141	0.307238849182
rsmE_692	0.678698416173
